user_id,anime_title,genre,region,watch_minutes,episodes_completed,days_inactive,subscription_months,ad_clicks,retained,churn_risk,homepage_click,started_episode,completed_episode,returned_next_day
1,Spy x Family,Adventure,Europe,175,17,24,45,4,0,Low,1,1,1,1
2,Demon Slayer,Adventure,Europe,158,16,9,8,4,0,Low,1,1,1,1
3,One Piece,Fantasy,Latin America,159,19,28,42,6,0,Low,1,1,0,0
4,Spy x Family,Fantasy,Asia,125,23,45,9,3,0,Low,1,1,1,0
5,Solo Leveling,Action,North America,152,11,37,37,1,1,Low,0,0,0,0
6,One Piece,Fantasy,North America,106,7,19,27,18,1,Low,0,0,0,0
7,One Piece,Action,Latin America,166,13,53,36,1,1,Low,0,0,0,0
8,Spy x Family,Comedy,Latin America,119,19,25,6,15,1,Low,1,1,1,1
9,Jujutsu Kaisen,Action,Europe,95,17,31,6,11,0,High,1,0,0,0
10,Solo Leveling,Comedy,Latin America,141,22,38,45,14,0,Low,1,1,1,0
11,Spy x Family,Action,Europe,63,13,37,4,9,1,High,0,0,0,0
12,Solo Leveling,Adventure,Asia,198,12,58,22,5,0,Low,1,1,1,0
13,Solo Leveling,Fantasy,Latin America,171,7,48,40,12,1,Low,1,1,1,1
14,One Piece,Comedy,North America,153,1,52,27,5,1,Low,0,0,0,0
15,Demon Slayer,Action,North America,75,1,23,37,1,1,Low,0,0,0,0
16,Solo Leveling,Fantasy,Latin America,111,20,30,2,13,1,Low,0,0,0,0
17,Chainsaw Man,Action,Europe,141,23,39,9,17,0,Low,0,0,0,0
18,One Piece,Fantasy,North America,129,14,11,11,5,1,Low,1,1,0,0
19,Jujutsu Kaisen,Fantasy,Europe,72,15,57,20,18,0,High,1,1,0,0
20,Demon Slayer,Action,Latin America,87,11,56,43,13,0,High,0,0,0,0
21,Chainsaw Man,Comedy,Latin America,128,9,35,39,12,1,Low,1,1,0,0
22,Chainsaw Man,Comedy,North America,88,17,9,14,7,1,Low,0,0,0,0
23,Jujutsu Kaisen,Adventure,Latin America,194,4,5,26,4,1,Low,0,0,0,0
24,Demon Slayer,Fantasy,Asia,159,20,6,38,12,1,Low,1,1,0,0
25,One Piece,Adventure,Asia,107,19,52,30,5,1,Low,1,1,1,0
26,Attack on Titan,Adventure,North America,186,7,30,36,18,1,Low,1,1,0,0
27,Demon Slayer,Action,Asia,178,1,26,38,10,1,Low,0,0,0,0
28,Jujutsu Kaisen,Action,Europe,151,9,7,35,15,1,Low,1,0,0,0
29,Chainsaw Man,Action,North America,138,13,2,6,4,1,Low,1,1,1,1
30,One Piece,Fantasy,North America,128,2,39,3,11,1,Low,0,0,0,0
31,Demon Slayer,Action,Europe,118,2,46,1,16,1,Low,1,1,0,0
32,Attack on Titan,Action,Asia,86,15,20,18,1,0,Low,0,0,0,0
33,Attack on Titan,Fantasy,Asia,201,17,0,23,9,0,Low,0,0,0,0
34,Solo Leveling,Fantasy,Asia,119,13,44,32,14,1,Low,1,1,1,1
35,Solo Leveling,Comedy,North America,141,7,53,29,18,1,Low,1,0,0,0
36,Spy x Family,Action,North America,103,9,49,23,19,1,Low,1,1,1,1
37,Jujutsu Kaisen,Action,Asia,129,12,14,36,16,1,Low,0,0,0,0
38,Demon Slayer,Action,Latin America,254,3,6,6,18,0,Low,0,0,0,0
39,Demon Slayer,Comedy,Asia,110,23,14,17,18,0,Low,1,1,1,1
40,Spy x Family,Action,Europe,197,22,24,18,12,1,Low,1,1,0,0
41,Chainsaw Man,Comedy,North America,138,15,2,31,12,1,Low,0,0,0,0
42,Chainsaw Man,Adventure,Europe,167,7,29,6,15,1,Low,1,1,0,0
43,Spy x Family,Comedy,Europe,189,23,57,34,2,0,Low,0,0,0,0
44,Chainsaw Man,Adventure,North America,150,1,13,44,3,1,Low,1,1,1,1
45,Solo Leveling,Action,Latin America,125,14,51,44,6,1,Low,0,0,0,0
46,Demon Slayer,Adventure,Asia,132,19,3,27,2,1,Low,1,1,1,1
47,Spy x Family,Comedy,Europe,133,16,35,36,8,1,Low,0,0,0,0
48,Demon Slayer,Fantasy,North America,214,10,2,42,7,1,Low,1,1,0,0
49,Attack on Titan,Adventure,Europe,80,1,4,25,17,1,Low,1,1,1,0
50,Solo Leveling,Adventure,Asia,69,5,24,10,13,1,Low,0,0,0,0
51,One Piece,Action,Latin America,71,3,30,39,19,0,Low,1,0,0,0
52,Solo Leveling,Comedy,Latin America,104,17,10,46,4,1,Low,1,1,1,1
53,Spy x Family,Adventure,Latin America,168,18,7,39,2,0,Low,1,0,0,0
54,One Piece,Adventure,North America,170,21,25,12,9,1,Low,1,0,0,0
55,Attack on Titan,Adventure,North America,115,19,1,11,10,1,Low,1,1,1,1
56,Spy x Family,Adventure,Latin America,138,22,27,43,16,1,Low,1,1,1,1
57,Jujutsu Kaisen,Fantasy,Asia,95,22,47,3,7,0,High,0,0,0,0
58,Demon Slayer,Comedy,Asia,99,18,56,22,8,0,High,0,0,0,0
59,Attack on Titan,Action,North America,163,16,59,4,7,0,Low,0,0,0,0
60,Demon Slayer,Action,Latin America,181,2,9,8,19,0,Low,0,0,0,0
61,Chainsaw Man,Fantasy,Asia,120,15,49,14,1,0,Low,1,1,0,0
62,Jujutsu Kaisen,Comedy,Asia,205,13,38,20,3,1,Low,0,0,0,0
63,Jujutsu Kaisen,Adventure,Asia,178,13,36,24,15,1,Low,1,1,1,0
64,Attack on Titan,Fantasy,North America,203,16,38,14,8,1,Low,1,1,0,0
65,Jujutsu Kaisen,Comedy,Latin America,127,8,20,28,8,0,Low,0,0,0,0
66,One Piece,Adventure,Europe,200,11,27,16,4,0,Low,1,0,0,0
67,Jujutsu Kaisen,Fantasy,Latin America,227,8,37,32,2,0,Low,0,0,0,0
68,Demon Slayer,Comedy,Latin America,123,22,55,47,13,0,Low,1,1,1,1
69,Demon Slayer,Action,North America,133,10,32,12,14,1,Low,0,0,0,0
70,Spy x Family,Action,Asia,102,23,10,16,5,0,Low,1,0,0,0
71,Demon Slayer,Comedy,Asia,94,1,44,19,15,1,High,1,1,1,1
72,Spy x Family,Action,North America,94,12,43,5,9,1,High,0,0,0,0
73,Demon Slayer,Comedy,North America,107,9,0,12,13,1,Low,0,0,0,0
74,One Piece,Adventure,North America,150,5,52,29,11,1,Low,1,0,0,0
75,Spy x Family,Comedy,North America,109,9,46,5,8,0,Low,1,1,1,1
76,Solo Leveling,Adventure,North America,149,16,32,42,18,1,Low,1,1,0,0
77,Chainsaw Man,Fantasy,Europe,150,18,2,17,11,0,Low,1,1,0,0
78,Attack on Titan,Comedy,Latin America,121,8,25,47,12,0,Low,0,0,0,0
79,Demon Slayer,Fantasy,Latin America,137,23,14,8,12,0,Low,1,1,0,0
80,Jujutsu Kaisen,Action,Latin America,118,11,40,40,16,0,Low,0,0,0,0
81,Demon Slayer,Adventure,Asia,127,20,13,40,1,1,Low,1,0,0,0
82,Jujutsu Kaisen,Comedy,Europe,107,19,22,30,19,1,Low,1,0,0,0
83,Chainsaw Man,Fantasy,Latin America,143,4,59,10,8,1,Low,0,0,0,0
84,Chainsaw Man,Adventure,Asia,115,20,53,20,7,1,Low,0,0,0,0
85,Chainsaw Man,Adventure,Europe,93,10,55,45,6,1,High,0,0,0,0
86,Jujutsu Kaisen,Action,Europe,163,13,7,16,4,1,Low,0,0,0,0
87,Demon Slayer,Action,Asia,165,20,53,41,18,1,Low,1,1,1,1
88,Chainsaw Man,Adventure,Europe,184,14,35,16,2,1,Low,1,0,0,0
89,One Piece,Adventure,Asia,99,21,19,42,12,1,Low,1,1,1,1
90,Spy x Family,Comedy,Latin America,120,2,51,3,5,1,Low,1,0,0,0
91,Jujutsu Kaisen,Adventure,Asia,149,4,5,23,10,1,Low,0,0,0,0
92,Jujutsu Kaisen,Comedy,Europe,119,7,32,22,3,0,Low,1,0,0,0
93,Demon Slayer,Adventure,Latin America,162,19,27,28,2,0,Low,1,1,1,1
94,Jujutsu Kaisen,Action,Latin America,159,17,49,46,3,1,Low,1,0,0,0
95,Jujutsu Kaisen,Comedy,North America,159,16,37,45,2,1,Low,1,0,0,0
96,Chainsaw Man,Fantasy,North America,198,13,29,36,12,1,Low,1,1,1,1
97,Demon Slayer,Action,Europe,165,22,45,4,14,1,Low,1,1,1,0
98,Chainsaw Man,Comedy,Asia,146,23,42,38,11,0,Low,1,1,1,1
99,Spy x Family,Comedy,Asia,132,18,16,24,14,1,Low,0,0,0,0
100,Spy x Family,Fantasy,Europe,135,21,8,19,10,1,Low,0,0,0,0
101,Chainsaw Man,Comedy,Latin America,97,12,27,11,10,1,Low,0,0,0,0
102,Spy x Family,Adventure,Europe,69,23,53,40,12,0,High,1,1,1,0
103,Demon Slayer,Fantasy,Europe,158,1,6,46,11,1,Low,0,0,0,0
104,Attack on Titan,Action,Latin America,188,15,45,40,5,0,Low,1,1,1,1
105,Chainsaw Man,Action,Asia,126,3,27,46,19,1,Low,1,1,1,1
106,One Piece,Adventure,Europe,203,6,16,39,18,1,Low,0,0,0,0
107,One Piece,Action,Asia,132,14,39,18,18,0,Low,1,1,0,0
108,Jujutsu Kaisen,Comedy,Europe,61,23,59,12,2,1,High,1,0,0,0
109,Spy x Family,Comedy,Latin America,176,6,47,14,15,1,Low,0,0,0,0
110,One Piece,Adventure,Latin America,120,1,43,47,8,0,Low,0,0,0,0
111,Jujutsu Kaisen,Action,North America,180,20,43,18,13,1,Low,0,0,0,0
112,Attack on Titan,Action,Latin America,88,6,59,44,2,0,High,0,0,0,0
113,Demon Slayer,Adventure,North America,156,8,59,42,2,0,Low,1,1,1,1
114,Demon Slayer,Fantasy,Europe,107,15,4,12,19,1,Low,1,1,1,0
115,Demon Slayer,Action,Asia,148,14,4,40,6,1,Low,1,1,0,0
116,One Piece,Fantasy,Latin America,170,16,13,27,18,1,Low,1,1,0,0
117,Attack on Titan,Action,Latin America,161,20,5,6,2,0,Low,1,1,0,0
118,One Piece,Action,Latin America,142,23,6,24,0,1,Low,0,0,0,0
119,Spy x Family,Action,Europe,84,16,54,33,11,1,High,1,1,0,0
120,One Piece,Action,North America,169,19,52,45,5,0,Low,1,1,1,1
121,Attack on Titan,Comedy,Europe,181,1,16,16,6,1,Low,1,1,0,0
122,Attack on Titan,Fantasy,Asia,98,4,58,12,1,0,High,1,1,0,0
123,Spy x Family,Fantasy,Europe,104,10,8,31,17,0,Low,0,0,0,0
124,Attack on Titan,Action,Asia,182,20,30,37,14,1,Low,0,0,0,0
125,Attack on Titan,Action,Latin America,131,18,21,13,14,1,Low,0,0,0,0
126,Demon Slayer,Fantasy,Asia,105,2,44,8,9,0,Low,1,1,1,0
127,Spy x Family,Comedy,Asia,150,4,8,38,16,1,Low,1,1,1,1
128,Solo Leveling,Adventure,North America,114,15,58,3,17,0,Low,1,0,0,0
129,Solo Leveling,Adventure,Asia,146,4,15,20,17,1,Low,0,0,0,0
130,Attack on Titan,Fantasy,Asia,123,16,35,4,14,0,Low,1,1,1,0
131,Solo Leveling,Action,Europe,126,15,33,44,5,1,Low,1,1,1,0
132,Solo Leveling,Action,Latin America,184,18,44,45,8,0,Low,0,0,0,0
133,Attack on Titan,Comedy,Europe,41,7,12,2,10,1,Low,0,0,0,0
134,Solo Leveling,Adventure,Europe,162,15,18,36,14,1,Low,0,0,0,0
135,One Piece,Comedy,Latin America,177,22,11,23,2,0,Low,1,1,0,0
136,Jujutsu Kaisen,Adventure,Latin America,115,11,35,45,18,0,Low,0,0,0,0
137,Spy x Family,Fantasy,Asia,177,19,9,19,0,1,Low,1,1,0,0
138,Jujutsu Kaisen,Adventure,Asia,101,8,15,40,16,0,Low,1,0,0,0
